gram	count
ban	5341
jia	3365
cun	2531
kuhe	1571
zi	1413
shi	1202
wadi	1104
xi	1089
yi	1041
dong	997
zhuang	965
san	957
wad	953
gou	920
rio	912
qiao	910
nong	889
wan	886
ozero	883
kwh	849
wu	833
xiang	827
ba	819
yang	795
rongrian	787
ping	771
rongreiyn	758
xiao	746
yuan	738
khwh	719
tang	719
long	713
gora	697
shang	686
wang	681
huai	671
zhen	666
chang	666
xia	665
tian	659
hwy	627
shui	610
xin	606
drh	605
lu	545
wei	544
zhang	541
hnxng	528
liu	515
nan	514
yu	477
hu	477
ling	475
zhai	470
urochishche	469
darrehye	468
yan	467
ji	461
huang	459
bd	451
abu	445
tou	438
zhu	434
bao	433
dao	431
ke	430
gu	427
bai	421
pa	419
gong	411
zhong	408
gang	407
luo	391
bir	388
jabal	385
lin	381
guo	373
wa	373
ash	368
keng	368
sidi	366
nam	365
chshmh	362
fang	361
pu	359
kohe	356
feng	356
jing	352
khlong	351
hua	349
ding	349
shu	346
kou	346
xing	345
ku	344
qi	341
gao	338
po	336
ali	333
tun	329
ying	318
lao	317
jiang	314
punkt	314
lai	313
abad	311
river	310
jin	309
chuan	305
jiao	304
chong	304
umm	301
qing	299
guan	299
tan	295
sha	293
qian	292
khlxng	291
song	291
khan	288
phumi	287
yao	285
miao	284
khao	284
ye	283
xian	280
sheng	278
dian	274
hou	264
cheshmehye	263
chiao	261
mazraehye	261
cheng	260
ar	258
bo	258
liang	256
bang	255
cha	252
tha	252
island	250
jie	249
chah	248
bala	245
quan	244
ayn	239
izbat	237
mo	233
pan	232
lang	229
ting	229
rudkhanehye	229
jian	228
khok	225
ka	222
urochishhe	218
hong	216
shah	213
ab	213
ghar	211
ri	211
mhmd	210
zhou	209
khea	208
tall	208
cao	206
chen	206
stantsiya	204
jiu	203
tong	203
mao	202
abd	200
airport	194
muhammad	192
lan	189
zhi	188
sai	185
phu	184
xu	183
mei	182
ras	182
jare	182
sar	180
ly	179
dui	179
rong	177
mys	174
sang	173
mzrh	173
ostrov	172
sathani	170
bi	170
sr	169
pristan	168
chahe	167
cerro	165
ang	165
lou	165
arroyo	161
boloto	160
tl	160
km	159
emamzadeh	156
thung	156
sthani	156
zhao	154
qlh	154
ouadi	153
kham	153
pain	152
lian	150
fan	148
niu	148
riviere	147
bolshaya	147
anamai	146
xnamay	146
darreh	146
wdy	144
mai	143
station	143
dh	142
